100001,Gardnar,Mulloy,true,1913-11-11,US,185
100002,Pancho,Segura,true,1921-06-06,EC,168
100003,Frank,Sedgman,true,1927-10-10,AU,180
100004,Giuseppe,Merlo,true,1927-10-10,IT,
100005,Richard,Gonzalez,true,1928-05-05,US,188
100006,Grant,Golden,true,1929-08-08,US,175
100007,Abe,Segal,false,1930-10-10,ZA,
100008,Kurt,Nielsen,true,1930-11-11,DK,
100009,Istvan,Gulyas,true,1931-10-10,HU,
100010,Luis,Ayala,true,1932-09-09,CL,170
100011,Torben,Ulrich,false,1928-10-10,DK,180
100012,Nicola,Pietrangeli,true,1933-09-09,IT,178
100013,Neale,Fraser,false,1933-10-10,AU,185
100014,Trevor,Fancutt,true,1934-07-07,ZA,
100015,Sammy,Giammalva,true,1934-08-08,US,180
100016,Ken,Rosewall,true,1934-11-11,AU,175
100017,Mal,Anderson,true,1935-03-03,AU,
100018,Barry,Mackay,true,1935-08-08,US,190
100019,Wieslaw,Gasiorek,true,1936-01-01,PL,
100020,Alejandro,Olmedo,true,1936-03-03,PE,178
100021,Ashley,Cooper,true,1936-09-09,AU,178
100022,Roy,Emerson,true,1936-11-11,AU,183
100023,Ramanathan,Krishnan,true,1937-04-04,IN,
100024,Jan Erik,Lundquist,true,1937-04-04,SE,191
100025,Barry,Phillips Moore,true,1937-07-07,AU,173
100026,Andres,Gimeno,true,1937-08-08,ES,185
100027,Gene,Scott,true,1937-12-12,US,185
100028,Manuel,Santana,true,1938-05-05,ES,170
100029,Rod,Laver,false,1938-08-08,AU,173
100030,Fred,Stolle,true,1938-10-10,AU,190
100031,Dimitri,Sturdza,true,1938-11-11,CH,
100032,Patricio,Rodriguez Chi,true,1938-12-12,CL,188
100033,Wilhelm,Bungert,true,1939-04-04,DE,188
100034,Christian,Kuhnke,false,1939-04-04,DE,
100035,Ion,Tiriac,true,1939-05-05,RO,185
100036,Rudy,Hernando,true,1939-06-06,US,
100037,Nikola,Pilic,false,1939-08-08,HR,191
100038,Jaime,Pinto Bravo,true,1939-10-10,CL,178
100039,Boro,Jovanovic,true,1939-10-10,HR,
100040,Bob,Hewitt,true,1940-01-01,ZA,190
100041,Ned,Neely,true,1940-01-01,US,
100042,Ryoichi,Mori,true,1940-01-01,JP,
100043,Zdenek,Slizek,true,1940-02-02,CZ,
100044,Sergei,Likhachev,true,1940-03-03,RU,
100045,John,Paish,false,1940-03-03,GB,
100046,Larry,Nagler,true,1940-07-07,US,
100047,Bob,Carmichael,true,1940-07-07,AU,183
100048,Earl Butch,Buchholz,true,1940-09-09,US,188
100049,Jim,Mcmanus,false,1940-09-09,US,175
100050,Martin,Mulligan,true,1940-10-10,AU,
100051,Premjit,Lall,true,1940-10-10,IN,
100052,Keishiro,Yanagi,true,1941-02-02,JP,
100053,Colin,Stubs,true,1941-02-02,AU,
100054,Jose Edison,Mandarino,true,1941-03-03,BR,173
100055,Cliff,Drysdale,true,1941-05-05,ZA,188
100056,Harald,Elschenbroich,true,1941-06-06,DE,
100057,Pierre,Barthes,true,1941-09-09,FR,
100058,Roger,Taylor,false,1941-10-10,GB,183
100059,Isao,Watanabe,true,1941-11-11,JP,
100060,Marty,Riessen,true,1941-12-12,US,185
100061,Tom,Edlefsen,true,1941-12-12,US,188
100062,Francois,Jauffret,true,1942-02-02,FR,180
100063,Billy,Higgins,true,1942-04-04,US,
100064,Juan,Gisbert,true,1942-04-04,ES,
100065,Terry,Ryan,true,1942-04-04,ZA,
100066,Frank,Froehling,true,1942-05-05,US,190
100067,Frew,Mcmillan,true,1942-05-05,ZA,183
100068,Herb,Fitzgibbon,true,1942-07-07,US,
100069,Dennis,Ralston,true,1942-07-07,US,188
100070,Jan,Kukal,true,1942-09-09,CZ,
100071,Jean Claude,Barclay,true,1942-12-12,FR,
100072,Bailey,Brown,true,1943-06-06,US,
100073,Mark,Cox,false,1943-07-07,GB,185
100074,Arthur,Ashe,true,1943-07-07,US,185
100075,Owen,Davidson,false,1943-10-10,AU,185
100076,Milan,Holecek,true,1943-10-10,CZ,190
100077,Daniel,Contet,true,1943-11-11,FR,
100078,Clark,Graebner,true,1943-11-11,US,188
100079,Bill,Bowrey,true,1943-12-12,AU,
100080,Szabolcz,Baranyi,true,1944-01-01,HU,
100081,Charlie,Pasarell,true,1944-02-02,US,185
100082,Roger,Dowdeswell,true,1944-02-02,ZW,
100083,Nicola,Spear,true,1944-02-02,RS,
100084,Tom,Okker,true,1944-02-02,NL,178
100085,Hans Joachim,Ploetz,true,1944-02-02,DE,
100086,Frantisek,Pala,false,1944-03-03,CZ,
100087,John,Newcombe,true,1944-05-05,AU,183
