restaurante,fecha,valoracion_ambiente,valoracion_personal,valoracion_comida
7,2023-01-01,4.9,4.9,4.4
7,2023-01-01,4.3,3.9,4.2
7,2023-01-01,4.1,3.0,4.2
7,2023-01-01,4.9,4.4,4.4
7,2023-01-01,3.3,3.8,4.5
7,2023-01-01,4.6,3.8,4.0
7,2023-01-01,4.0,4.3,5.0
7,2023-01-01,3.5,3.3,4.5
7,2023-01-01,3.2,4.7,4.8
7,2023-01-01,4.5,3.6,3.8
7,2023-01-01,3.9,4.3,4.3
7,2023-01-01,3.1,3.2,4.8
7,2023-01-01,4.4,4.9,3.4
7,2023-01-01,3.9,3.2,4.8
7,2023-01-01,4.1,4.1,4.5
7,2023-01-01,3.2,5.0,5.0
7,2023-01-01,4.0,4.8,4.8
7,2023-01-01,4.8,3.9,4.1
7,2023-01-01,4.2,4.3,4.4
7,2023-01-01,4.0,3.7,2.8
7,2023-01-01,3.4,5.0,4.4
7,2023-01-01,4.3,3.7,3.5
7,2023-01-01,4.3,5.0,3.9
7,2023-01-01,3.8,3.7,3.8
7,2023-01-01,4.2,3.0,4.6
7,2023-01-01,4.1,4.0,3.8
7,2023-01-01,4.1,4.0,3.9
7,2023-01-01,3.7,4.0,4.0
7,2023-01-01,4.3,3.5,3.7
7,2023-01-01,4.3,3.5,4.0
7,2023-01-01,3.8,3.5,4.0
7,2023-01-01,3.7,3.4,5.0
7,2023-01-01,4.8,4.3,4.4
7,2023-01-01,3.6,4.8,4.0
7,2023-01-01,3.0,3.6,4.5
7,2023-01-01,4.2,4.7,4.0
7,2023-01-01,3.4,4.2,3.8
7,2023-01-01,4.3,4.8,4.7
7,2023-01-01,4.3,4.9,4.4
7,2023-01-01,4.1,3.4,3.5
7,2023-01-01,3.6,5.0,4.4
7,2023-01-01,4.0,3.9,4.0
7,2023-01-01,4.4,4.9,3.2
7,2023-01-01,3.7,4.5,3.6
7,2023-01-02,4.2,5.0,3.6
7,2023-01-02,4.2,4.1,4.1
7,2023-01-02,4.5,4.0,3.4
7,2023-01-02,5.0,3.9,4.6
7,2023-01-02,3.8,3.9,4.5
7,2023-01-02,4.5,5.0,4.2
7,2023-01-02,4.6,3.9,3.3
7,2023-01-02,4.2,4.3,4.1
7,2023-01-02,4.0,3.4,3.9
7,2023-01-02,4.3,4.8,4.2
7,2023-01-02,4.0,3.8,3.0
7,2023-01-02,4.3,3.9,5.0
7,2023-01-02,3.7,5.0,5.0
7,2023-01-02,5.0,4.0,4.0
7,2023-01-02,3.9,4.7,4.5
7,2023-01-02,4.5,3.8,3.9
7,2023-01-02,3.8,3.4,4.0
7,2023-01-02,4.3,4.6,4.5
7,2023-01-02,4.3,3.7,4.4
7,2023-01-02,4.7,3.7,4.4
7,2023-01-02,4.0,3.8,4.4
7,2023-01-02,4.7,4.2,3.7
7,2023-01-02,4.6,5.0,3.5
7,2023-01-02,4.3,4.0,3.5
7,2023-01-02,3.9,4.4,4.6
7,2023-01-02,4.4,4.5,4.9
7,2023-01-02,4.0,5.0,3.7
7,2023-01-02,3.9,4.8,4.0
7,2023-01-02,4.3,4.0,4.4
